file_pair,num_pref_A,num_pref_B,num_pref_equal
sid2579-noisy-COSINE-3231-F_array1_81_freqbin12_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin12_scaled0.5.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin21_scaled10.0.wav,2,1,2
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin21_scaled1000.0.wav,5,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin21_scaled10.0.wav,5,0,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin21_scaled1000.0.wav,5,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin21_scaled1000.0.wav,5,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin21_scaled0.5.wav,0,1,4
sid4715-noisy-COSINE-6463-F_array1_69_freqbin21_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,5,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin21_scaled10.0.wav,1,0,4
sid3629-clean-COSINE-4174-F_close_72_freqbin21_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149_freqbin21_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,1,4
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin21_scaled0.5.wav,0,0,5
sid3629-clean-COSINE-4174-F_close_72_freqbin21_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,2,3
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin21_scaled1000.0.wav,5,0,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin21_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,1,2,2
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin21_scaled10.0.wav,4,0,1
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin21_scaled10.0.wav,3,0,2
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin21_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,1,4,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin21_scaled0.5.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,1,4
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin21_scaled1000.0.wav,5,0,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin21_scaled0.5.wav,0,2,3
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin21_scaled0.5.wav,2,1,2
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin21_scaled10.0.wav,4,1,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin21_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin21_scaled0.5.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,2,3
